[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3933106246.22613,08/18/2024,12:27 am
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Magnetite Standard,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,3.32,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.12,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time.Stamp..sec.,Temperature..K.,Magnetic.Field..Oe.,Moment..emu.,M..Std..Err...emu.,Transport.Action,Averaging.Time..sec.,Frequency..Hz.,Peak.Amplitude..mm.,Center.Position..mm.,Lockin.Signal...V.,Lockin.Signal..V.,Range,M..Quad..Signal..emu.,AC.Moment..emu.,AC.M..Std.Err...emu.,AC.Phase..deg.,AC.Phase.Std..Err...deg.,AC.Susceptibility..emu.Oe.,AC.Suscept..Std.Err...emu.Oe.,AC.X...emu.Oe.,AC.X..Std.Err...emu.Oe.,AC.X....emu.Oe.,AC.X...Std.Err...emu.Oe.,AC.Drive..Oe.,AC.Frequency..Hz.,AC.Averaging.Time..sec.,AC.Cycles,AC.Range,AC.Measure.Type,AC.Signal...V.,AC.Signal....V.,AC.Trim.Coil.Ratio,AC.Trim.Coil.Phase,Min..Temperature..K.,Max..Temperature..K.,Min..Field..Oe.,Max..Field..Oe.,Mass..grams.,Motor.Lag..deg.,Pressure..Torr.,Measure.Count,Measurement.Number,SQUID.Status..code.,Motor.Status..code.,Measure.Status..code.,Motor.Current..amps.,Motor.Temp...C.,Temp..Status..code.,Field.Status..code.,Chamber.Status..code.,Chamber.Temp..K.,Redirection.State,Evercool.Status,Average.Temp..K.,Rotation.Angle..deg.,Rotator.state,DC.Moment.Fixed.Ctr..emu.,DC.Moment.Err.Fixed.Ctr..emu.,DC.Moment.Free.Ctr..emu.,DC.Moment.Err.Free.Ctr..emu.,DC.Fixed.Fit,DC.Free.Fit,DC.Calculated.Center..mm.,DC.Calculated.Center.Err..mm.,DC.Scan.Length..mm.,DC.Scan.Time..s.,DC.Number.of.Points,DC.Squid.Drift,DC.Min.V..V.,DC.Max.V..V.,DC.Scans.per.Measure,LS.Wavelength..nm.,LS.Status..code.,VSDO.03,VSDO.04,VSDO.05,VSDO.06,VSDO.07,VSDO.08,VSDO.09,VSDO.10,VSDO.11,VSDO.12,VSDO.13,VSDO.14,VSDO.15,VSDO.16,Map.01,Map.02,Map.03,Map.04,Map.05,Map.06,Map.07,Map.08,Map.09,Map.10,Map.11,Map.12,Map.13,Map.14,Map.15,Map.16
,3933109497.41561,49.7183017730713,0,0.0351360250308407,5.81017800993559e-06,1,2,11.9032497406006,4.99104704445006,34.400001168251,45.2964918330359,6.42546373217832,100,1.06944901618899e-05,,,,,,,,,,,,,,,,,,,,,49.7174873352051,49.7191162109375,0,0,48.8424029096975,4.99379439129318,7.77457046508789,24,1,0,0,1,0.241851806640625,31.7693061828613,1,1,1,49.7191162109375,0,3158316800,49.7183017730713,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933109695.20053,53.6867294311523,0,0.0348553917406535,5.10475447365871e-06,1,2,11.9032497406006,4.99000312809727,34.400001168251,44.9215545043446,6.37224298862036,100,1.05827637677463e-05,,,,,,,,,,,,,,,,,,,,,53.6858100891113,53.6876487731934,0,0,48.7396187594186,4.99587328053815,7.8987398147583,24,1,0,0,1,0.245742797851562,33.2355842590332,1,1,1,53.6876487731934,0,3158316704,53.6867294311523,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933109893.42276,57.6543388366699,0,0.034560093784119,5.23883721384168e-06,1,2,11.9032497406006,4.99097912424572,34.4099998474121,44.5519238740827,6.32880208964431,100,1.73308043946611e-05,,,,,,,,,,,,,,,,,,,,,57.6535873413086,57.6550903320312,0,0,48.8635068797167,4.99159932020783,7.97030353546143,24,1,0,0,1,0.24658203125,33.2355842590332,1,1,1,57.6550903320312,0,3158316608,57.6543388366699,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933110092.26412,61.6220035552979,0,0.0342621227724853,3.68881307366501e-06,1,2,11.9032497406006,4.99006288530574,34.4099998474121,44.1574106017748,6.2658684480791,100,1.19400511120273e-05,,,,,,,,,,,,,,,,,,,,,61.6204147338867,61.623592376709,0,0,48.7970684555821,4.99580059237615,7.9732551574707,24,1,0,0,1,0.246047973632813,33.2355842590332,1,1,1,61.623592376709,0,3158316736,61.6220035552979,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933110292.0446,65.5887298583984,0,0.0339375837500738,5.6703958431804e-06,1,2,11.9032497406006,4.99015192273476,34.4199985265732,43.740930104494,6.20175154812876,100,8.0096557896448e-06,,,,,,,,,,,,,,,,,,,,,65.5870132446289,65.590446472168,0,0,48.7912062416879,4.99573870664328,7.99724102020264,24,1,0,0,1,0.24261474609375,33.2355842590332,1,1,1,65.590446472168,0,3158316768,65.5887298583984,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933110493.33638,69.5563201904297,0,0.0335973539319018,4.35838495957152e-06,1,2,11.9032497406006,4.99027395942183,34.4199985265732,43.3050662805066,6.13156776728943,100,1.55175584399309e-06,,,,,,,,,,,,,,,,,,,,,69.5541763305664,69.558464050293,0,0,48.6950659338225,4.99410113807127,8.03029346466065,24,1,0,0,1,0.247268676757813,33.2355842590332,1,1,1,69.558464050293,0,3158316832,69.5563201904297,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933110693.17801,73.5216789245606,0,0.0331909887552676,5.41873738716355e-06,1,2,11.9032497406006,4.99039082053613,34.4300009310246,42.7821528947886,6.06138035224407,100,4.46260053915253e-06,,,,,,,,,,,,,,,,,,,,,73.5194931030273,73.5238647460937,0,0,48.7247678175532,4.99492775176752,8.05740451812744,24,1,0,0,1,0.2423095703125,33.2355842590332,1,1,1,73.5238647460937,0,3158316704,73.5216789245606,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933110891.43898,77.4873809814453,0,0.0327594011861628,4.25495669623131e-06,1,2,11.9032497406006,4.99087984626759,34.4300009310246,42.2314319402519,5.98487269515528,100,5.5593441889941e-06,,,,,,,,,,,,,,,,,,,,,77.4862060546875,77.4885559082031,0,0,48.7423544592359,4.9927686686914,8.06489562988281,24,1,0,0,1,0.245513916015625,33.2355842590332,1,1,1,77.4889373779297,0,3158316736,77.4873809814453,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933111092.36631,81.4570922851562,0,0.0322302182337105,3.99310556122305e-06,1,2,11.9032497406006,4.99023744742019,34.4399996101856,41.5421714602149,5.88419062591352,100,3.18569718331712e-06,,,,,,,,,,,,,,,,,,,,,81.4545211791992,81.4596633911133,0,0,48.6677089356494,4.99483813042535,8.08256912231445,24,1,0,0,1,0.248565673828125,34.2131004333496,1,1,1,81.4596633911133,0,3158316704,81.4570922851562,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933111292.59854,85.4219207763672,0,0.0316029624402712,4.7545192008738e-06,1,2,11.9032497406006,4.98980060592714,34.4499982893467,40.7286427688721,5.76934790478726,100,3.41927146221194e-06,,,,,,,,,,,,,,,,,,,,,85.4201431274414,85.423698425293,0,0,48.8658517652744,4.99662103241606,8.1041841506958,24,1,0,0,1,0.243759155273438,33.7243423461914,1,1,1,85.423698425293,0,3158316704,85.4219207763672,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933111491.89619,89.3886756896973,0,0.030788523838174,3.56075760113531e-06,1,2,11.9032497406006,4.9885853709329,34.4600006937981,39.6652066142192,5.6207909565223,100,4.91566867584349e-06,,,,,,,,,,,,,,,,,,,,,89.3858795166016,89.391471862793,0,0,48.8341958102456,4.99788805034392,8.13380718231201,24,1,0,0,1,0.238723754882813,33.2355842590332,1,1,1,89.391471862793,0,3158316736,89.3886756896973,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933111689.21879,93.3559875488281,0,0.0296883299582656,4.10919634328499e-06,1,2,11.9032497406006,4.99042506443402,34.4600006937981,38.2676238088796,5.42232620313994,100,4.42125298787657e-06,,,,,,,,,,,,,,,,,,,,,93.3529739379883,93.359001159668,0,0,48.8943812062263,4.99401857482778,8.14469623565674,24,1,0,0,1,0.242538452148438,34.2131004333496,1,1,1,93.359001159668,0,3158316672,93.3559875488281,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933111885.51458,97.3230819702148,0,0.0281369211410489,4.51461414969071e-06,1,2,11.9032497406006,4.98998734386434,34.4699993729591,36.2643925113575,5.13159529692693,100,-1.04544029438832e-06,,,,,,,,,,,,,,,,,,,,,97.3210296630859,97.3251342773437,0,0,48.8373223243225,4.99549753403452,8.15872097015381,24,1,0,0,1,0.244216918945313,35.190616607666,1,1,1,97.3251342773437,0,3158316992,97.3230819702148,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933112080.75356,101.291046142578,0,0.0260661708385111,3.39131626072242e-06,1,2,11.9032497406006,4.99063264530653,34.4800017774105,33.6007614308751,4.76057345879838,100,3.51507756107446e-06,,,,,,,,,,,,,,,,,,,,,101.288101196289,101.293991088867,0,0,48.8494375663705,4.99468991226537,8.15869522094727,24,1,0,0,1,0.239715576171875,33.2355842590332,1,1,1,101.293991088867,0,3158316768,101.291046142578,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933112278.08707,105.26388168335,0,0.0237908921885533,2.74498979330767e-06,1,2,11.9032497406006,4.99093932664928,34.4900004565716,30.6708632187233,4.34239499337593,100,8.74526282564503e-07,,,,,,,,,,,,,,,,,,,,,105.260398864746,105.267364501953,0,0,48.8412304669186,4.99303699356442,8.16541576385498,24,1,0,0,1,0.247344970703125,33.2355842590332,1,1,1,105.267364501953,0,3158316640,105.26388168335,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933112475.35336,109.231906890869,0,0.0215932078581703,2.28282490177548e-06,1,2,11.9032497406006,4.99082494791934,34.4999991357327,27.837047941326,3.93902294539218,100,-8.48232390136393e-07,,,,,,,,,,,,,,,,,,,,,109.227867126465,109.235946655273,0,0,48.7943327557648,4.99385714093021,8.18095970153809,24,1,0,0,1,0.243301391601562,33.2355842590332,1,1,1,109.235946655273,0,3158316704,109.231906890869,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933112671.63991,113.201995849609,0,0.0197725099025954,2.02130814921396e-06,1,2,11.9032497406006,4.99067179271908,34.4999991357327,25.4886583106976,3.60764166012484,100,-7.50284760930371e-08,,,,,,,,,,,,,,,,,,,,,113.199661254883,113.204330444336,0,0,48.9436238029379,4.99543095703528,8.18936061859131,24,1,0,0,1,0.244369506835938,33.2355842590332,1,1,1,113.204330444336,0,3158316640,113.201995849609,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933112868.51681,117.173622131348,0,0.0184193306676999,2.29299686545448e-06,1,2,11.9032497406006,4.99050225174138,34.510001540184,23.7435778871135,3.35757187394018,100,-2.406784935771e-06,,,,,,,,,,,,,,,,,,,,,117.169540405273,117.177703857422,0,0,48.7935511272455,4.99629832928526,8.1955509185791,24,1,0,0,1,0.243072509765625,35.190616607666,1,1,1,117.177703857422,0,3158316736,117.173622131348,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933113066.77507,121.144443511963,0,0.0174995958489223,2.82368222478039e-06,1,2,11.9032497406006,4.9899314246843,34.5200002193451,22.554172051171,3.19083691903158,100,-1.17712589996031e-06,,,,,,,,,,,,,,,,,,,,,121.141448974609,121.147438049316,0,0,48.815436725784,4.99670302113012,8.20586013793945,24,1,0,0,1,0.244522094726562,33.7243423461914,1,1,1,121.147438049316,0,3158316672,121.144443511963,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933113264.54368,125.11576461792,0,0.0169115316971079,1.99500013824877e-06,1,2,11.9032497406006,4.99014727052111,34.5299988985062,21.7971920274312,3.08647983526852,100,9.43623527542531e-07,,,,,,,,,,,,,,,,,,,,,125.113372802734,125.118156433105,0,0,48.952612530909,4.99625929599157,8.21703910827637,24,1,0,0,1,0.24169921875,33.2355842590332,1,1,1,125.118156433105,0,3158316704,125.11576461792,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933113463.38354,129.088676452637,0,0.016555801684061,2.34767312978898e-06,1,2,11.9032497406006,4.99014246052569,34.5400013029575,21.3392022605653,3.01775329547918,100,-2.02376858333318e-06,,,,,,,,,,,,,,,,,,,,,129.084884643555,129.092468261719,0,0,48.8181724256013,4.99631908240228,8.24314212799072,24,1,0,0,1,0.24627685546875,33.2355842590332,1,1,1,129.092468261719,0,3158316864,129.088676452637,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933113661.15435,133.058052062988,0,0.01633544765044,2.63100936861161e-06,1,2,11.9032497406006,4.99004270529384,34.5499999821186,21.0543486881102,2.97923003761588,100,-6.57904073753829e-07,,,,,,,,,,,,,,,,,,,,,133.054168701172,133.061935424805,0,0,48.911967847909,4.99629349747596,8.25031566619873,24,1,0,0,1,0.244979858398438,33.2355842590332,1,1,1,133.061935424805,0,3158316672,133.058052062988,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933113860.88736,137.027885437012,0,0.016201767400028,2.37527029920855e-06,1,2,11.9032497406006,4.99008358366571,34.570001065731,20.8828752816304,2.95075609790689,100,-3.8548776866563e-06,,,,,,,,,,,,,,,,,,,,,137.024337768555,137.031433105469,0,0,48.8861741067744,4.99751308562328,8.25658321380615,24,1,0,0,1,0.2386474609375,33.2355842590332,1,1,1,137.031433105469,0,3158316576,137.027885437012,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933114058.72947,140.999855041504,0,0.0161189553476716,2.14584054732014e-06,1,2,11.9032497406006,4.99038486542259,34.5799997448921,20.7771598892624,2.94110051044779,100,1.82275275872416e-07,,,,,,,,,,,,,,,,,,,,,140.996978759766,141.002731323242,0,0,48.7669757575917,4.9950886332592,8.26078033447266,24,1,0,0,1,0.245742797851562,33.2355842590332,1,1,1,141.002731323242,0,3158316704,140.999855041504,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933114256.57619,144.971572875977,0,0.0160719156889915,2.71015693115402e-06,1,2,11.9032497406006,4.99026386532284,34.5899984240532,20.7163166670903,2.92893065376583,100,-2.52383764125887e-06,,,,,,,,,,,,,,,,,,,,,144.969009399414,144.974136352539,0,0,48.7990225268802,4.9956047171228,8.26918411254883,24,1,0,0,1,0.243301391601562,32.2580642700195,1,1,1,144.974136352539,0,3158316704,144.971572875977,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933114455.3548,148.94409942627,0,0.0160449529654727,2.01644462659276e-06,1,2,11.9032497406006,4.99015428440716,34.6000008285046,20.6806669451064,2.92576120832636,100,-1.09660972923632e-06,,,,,,,,,,,,,,,,,,,,,148.940139770508,148.948059082031,0,0,48.8924271349282,4.99611176893591,8.27141571044922,24,1,0,0,1,0.247879028320313,33.7243423461914,1,1,1,148.948059082031,0,3158316704,148.94409942627,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933114653.68073,152.914863586426,0,0.0160280686045888,2.59856612282662e-06,1,2,11.9032497406006,4.99026459141408,34.6099995076656,20.6595611013407,2.92264980568736,100,-1.19090315886981e-06,,,,,,,,,,,,,,,,,,,,,152.912246704102,152.91748046875,0,0,48.8502191948898,4.9961401616143,8.27632999420166,24,1,0,0,1,0.243682861328125,32.7468223571777,1,1,1,152.91748046875,0,3158316736,152.914863586426,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
