 [Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3933076556.45049,08/17/2024,4:13 pm
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Magnetite Standard,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,3.32,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.12,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time.Stamp..sec.,Temperature..K.,Magnetic.Field..Oe.,Moment..emu.,M..Std..Err...emu.,Transport.Action,Averaging.Time..sec.,Frequency..Hz.,Peak.Amplitude..mm.,Center.Position..mm.,Lockin.Signal...V.,Lockin.Signal..V.,Range,M..Quad..Signal..emu.,AC.Moment..emu.,AC.M..Std.Err...emu.,AC.Phase..deg.,AC.Phase.Std..Err...deg.,AC.Susceptibility..emu.Oe.,AC.Suscept..Std.Err...emu.Oe.,AC.X...emu.Oe.,AC.X..Std.Err...emu.Oe.,AC.X....emu.Oe.,AC.X...Std.Err...emu.Oe.,AC.Drive..Oe.,AC.Frequency..Hz.,AC.Averaging.Time..sec.,AC.Cycles,AC.Range,AC.Measure.Type,AC.Signal...V.,AC.Signal....V.,AC.Trim.Coil.Ratio,AC.Trim.Coil.Phase,Min..Temperature..K.,Max..Temperature..K.,Min..Field..Oe.,Max..Field..Oe.,Mass..grams.,Motor.Lag..deg.,Pressure..Torr.,Measure.Count,Measurement.Number,SQUID.Status..code.,Motor.Status..code.,Measure.Status..code.,Motor.Current..amps.,Motor.Temp...C.,Temp..Status..code.,Field.Status..code.,Chamber.Status..code.,Chamber.Temp..K.,Redirection.State,Evercool.Status,Average.Temp..K.,Rotation.Angle..deg.,Rotator.state,DC.Moment.Fixed.Ctr..emu.,DC.Moment.Err.Fixed.Ctr..emu.,DC.Moment.Free.Ctr..emu.,DC.Moment.Err.Free.Ctr..emu.,DC.Fixed.Fit,DC.Free.Fit,DC.Calculated.Center..mm.,DC.Calculated.Center.Err..mm.,DC.Scan.Length..mm.,DC.Scan.Time..s.,DC.Number.of.Points,DC.Squid.Drift,DC.Min.V..V.,DC.Max.V..V.,DC.Scans.per.Measure,LS.Wavelength..nm.,LS.Status..code.,VSDO.03,VSDO.04,VSDO.05,VSDO.06,VSDO.07,VSDO.08,VSDO.09,VSDO.10,VSDO.11,VSDO.12,VSDO.13,VSDO.14,VSDO.15,VSDO.16,Map.01,Map.02,Map.03,Map.04,Map.05,Map.06,Map.07,Map.08,Map.09,Map.10,Map.11,Map.12,Map.13,Map.14,Map.15,Map.16
,3933079673.19448,260.421890258789,0,0.0354341983007801,5.38747203291198e-06,1,2,11.9032497406006,4.98208362731892,35.1499989628792,45.5678932536986,6.45030221335735,100,3.71573287707445e-07,,,,,,,,,,,,,,,,,,,,,260.418640136719,260.425140380859,0,0,48.779872628159,4.98810280642693,9.03797626495361,24,1,0,0,1,0.245132446289062,33.2355842590332,1,1,1,260.418151855469,0,3158316608,260.421890258789,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933079868.92793,256.312591552734,0,0.035403056320809,4.60900502829961e-06,1,2,11.9032497406006,4.98230010269921,35.130001604557,45.5310579528552,6.44192325324502,100,-2.04124460570945e-06,,,,,,,,,,,,,,,,,,,,,256.306732177734,256.318450927734,0,0,48.8228621967167,4.98818242380855,9.01846313476563,24,1,0,0,1,0.23834228515625,34.2131004333496,1,1,1,256.305877685547,0,3158316896,256.312591552734,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933080064.6535,252.476417541504,0,0.035374799132314,5.01029138337999e-06,1,2,11.9032497406006,4.98313366532259,35.1199992001057,45.5061956522647,6.4325887557773,100,-6.47277345986398e-06,,,,,,,,,,,,,,,,,,,,,252.473693847656,252.479141235352,0,0,48.7998041553994,4.98360801684563,9.01084613800049,24,1,0,0,1,0.236434936523438,35.190616607666,1,1,1,252.473693847656,0,3158316736,252.476417541504,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933080260.50793,248.369255065918,0,0.035327521967987,5.18601650710029e-06,1,2,11.9032497406006,4.98183606668065,35.0899994373322,45.4280407049665,6.42692347271046,100,-2.36050650445547e-06,,,,,,,,,,,,,,,,,,,,,248.365524291992,248.372985839844,0,0,48.7994133411398,4.99010772390588,8.99497318267822,24,1,0,0,1,0.241012573242187,33.7243423461914,1,1,1,248.365524291992,0,3158317184,248.369255065918,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933080453.78539,244.52025604248,0,0.0352744019122836,4.80369664681758e-06,1,2,11.9032497406006,4.98188068383632,35.0699983537197,45.3599442535987,6.41987254895466,100,-3.87697421425669e-07,,,,,,,,,,,,,,,,,,,,,244.51643371582,244.524078369141,0,0,48.7826083279763,4.98999514078277,8.97060966491699,24,1,0,0,1,0.242233276367187,33.7243423461914,1,1,1,244.51643371582,0,3158316736,244.52025604248,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933080649.07058,240.425827026367,0,0.0352070547949746,5.35607871546133e-06,1,2,11.9032497406006,4.98060092703559,35.0500009953976,45.2559698754532,6.41281849202301,100,5.45624231821346e-06,,,,,,,,,,,,,,,,,,,,,240.419403076172,240.432250976562,0,0,48.7865164705725,4.99297892021444,8.96094703674316,24,1,0,0,1,0.244216918945313,33.7243423461914,1,1,1,240.419403076172,0,3158316896,240.425827026367,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933080842.34886,236.454803466797,0,0.035131071562501,2.8576483733109e-06,1,2,11.9032497406006,4.98042956643188,35.0299999117851,45.1551718423979,6.40536938798499,100,1.06566678198243e-05,,,,,,,,,,,,,,,,,,,,,236.447723388672,236.461883544922,0,0,48.8592079228609,4.99518409001655,8.94087219238281,24,1,0,0,1,0.2435302734375,33.7243423461914,1,1,1,236.447723388672,0,3158317024,236.454803466797,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933081036.67394,232.606872558594,0,0.0350449080591124,5.91877408320427e-06,1,2,11.9032497406006,4.98008333370826,35.0099988281727,45.0398753607735,6.390134679421,100,1.14850801513892e-05,,,,,,,,,,,,,,,,,,,,,232.603942871094,232.609802246094,0,0,48.779872628159,4.99642231211919,8.92180442810059,24,1,0,0,1,0.240020751953125,33.7243423461914,1,1,1,232.603942871094,0,3158316832,232.606872558594,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933081231.92203,228.514122009277,0,0.0349436147427968,5.47974854110743e-06,1,2,11.9032497406006,4.98047602966939,34.9900014698505,44.9160301363518,6.36268818471155,100,3.92021428845092e-06,,,,,,,,,,,,,,,,,,,,,228.508743286133,228.519500732422,0,0,48.7149974610628,4.99247877698996,8.91740036010742,24,1,0,0,1,0.240859985351562,33.7243423461914,1,1,1,228.508743286133,0,3158316768,228.514122009277,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933081423.69602,224.548934936523,0,0.0348407522066526,4.90269032658495e-06,1,2,11.9032497406006,4.98026152102517,34.9700003862381,44.7813973310126,6.34152237577549,100,2.31148516451135e-06,,,,,,,,,,,,,,,,,,,,,224.544723510742,224.553146362305,0,0,48.9268187897744,4.99454908616882,8.89089298248291,24,1,0,0,1,0.240478515625,33.7243423461914,1,1,1,224.544723510742,0,3158316992,224.548934936523,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
